"","FL_DATE","max_delay"
"677","2020-11-07",296
"678","2020-11-08",602
"679","2020-11-09",664
"680","2020-11-10",68
"681","2020-11-11",217
"682","2020-11-12",84
"683","2020-11-13",742
"684","2020-11-14",145
"685","2020-11-15",197
"686","2020-11-16",220
"687","2020-11-17",71
"688","2020-11-18",155
"689","2020-11-19",1749
"690","2020-11-20",185
"691","2020-11-21",210
"692","2020-11-22",1084
"693","2020-11-23",105
"694","2020-11-24",267
"695","2020-11-25",75
"696","2020-11-26",161
"697","2020-11-27",172
"698","2020-11-28",227
"699","2020-11-29",619
"700","2020-11-30",108
"701","2020-12-01",87
"702","2020-12-02",50
"703","2020-12-03",129
"704","2020-12-04",2522
"705","2020-12-05",114
"706","2020-12-06",215
"707","2020-12-07",145
"708","2020-12-08",72
"709","2020-12-09",1513
"710","2020-12-10",87
"711","2020-12-11",96
"712","2020-12-12",143
"713","2020-12-13",139
"714","2020-12-14",193
"715","2020-12-15",84
"716","2020-12-16",898
"717","2020-12-17",1500
"718","2020-12-18",124
"719","2020-12-19",851
"720","2020-12-20",409
"721","2020-12-21",72
"722","2020-12-22",1293
"723","2020-12-23",1172
"724","2020-12-24",597
"725","2020-12-25",1401
"726","2020-12-26",200
"727","2020-12-27",281
"728","2020-12-28",735
"729","2020-12-29",138
"730","2020-12-30",556
"731","2020-12-31",291
"732","2021-01-01",120
"733","2021-01-02",480
"734","2021-01-03",110
"735","2021-01-04",1378
"736","2021-01-05",166
"737","2021-01-06",52
"738","2021-01-07",196
"739","2021-01-08",1302
"740","2021-01-09",137
"741","2021-01-10",221
"742","2021-01-11",100
"743","2021-01-12",191
"744","2021-01-13",154
"745","2021-01-14",183
"746","2021-01-15",1106
"747","2021-01-16",255
"748","2021-01-17",314
"749","2021-01-18",217
"750","2021-01-19",56
"751","2021-01-20",215
"752","2021-01-21",37
"753","2021-01-22",1366
"754","2021-01-23",707
"755","2021-01-24",113
"756","2021-01-25",156
"757","2021-01-26",109
"758","2021-01-27",83
"759","2021-01-28",912
"760","2021-01-29",241
"761","2021-01-30",523
"762","2021-01-31",320
"763","2021-02-01",1231
"764","2021-02-02",43
"765","2021-02-03",311
"766","2021-02-04",137
"767","2021-02-05",140
"768","2021-02-06",25
"769","2021-02-07",166
"770","2021-02-08",228
"771","2021-02-09",114
"772","2021-02-10",71
"773","2021-02-11",125
"774","2021-02-12",932
"775","2021-02-13",1531
"776","2021-02-14",270
"777","2021-02-15",224
"778","2021-02-16",148
"779","2021-02-17",1367
"780","2021-02-18",1104
"781","2021-02-19",306
"782","2021-02-20",2565
"783","2021-02-21",1323
"784","2021-02-22",909
"785","2021-02-23",92
"786","2021-02-24",166
"787","2021-02-25",240
"788","2021-02-26",96
"789","2021-02-27",193
"790","2021-02-28",164
"791","2021-03-01",132
"792","2021-03-02",56
"793","2021-03-03",84
"794","2021-03-04",281
"795","2021-03-05",139
"796","2021-03-06",2087
"797","2021-03-07",131
"798","2021-03-08",49
"799","2021-03-09",194
"800","2021-03-10",266
"801","2021-03-11",367
"802","2021-03-12",120
"803","2021-03-13",178
"804","2021-03-14",453
"805","2021-03-15",193
"806","2021-03-16",110
"807","2021-03-17",228
"808","2021-03-18",243
"809","2021-03-19",191
"810","2021-03-20",164
"811","2021-03-21",227
"812","2021-03-22",130
"813","2021-03-23",249
"814","2021-03-24",286
"815","2021-03-25",666
"816","2021-03-26",131
"817","2021-03-27",100
"818","2021-03-28",622
"819","2021-03-29",505
"820","2021-03-30",1303
"821","2021-03-31",1274
"822","2021-04-01",223
"823","2021-04-02",158
"824","2021-04-03",223
"825","2021-04-04",745
"826","2021-04-05",108
"827","2021-04-06",152
"828","2021-04-07",138
"829","2021-04-08",102
"830","2021-04-09",830
"831","2021-04-10",816
"832","2021-04-11",238
"833","2021-04-12",234
"834","2021-04-13",244
"835","2021-04-14",109
"836","2021-04-15",173
"837","2021-04-16",291
"838","2021-04-17",178
"839","2021-04-18",141
"840","2021-04-19",817
"841","2021-04-20",128
"842","2021-04-21",314
"843","2021-04-22",158
"844","2021-04-23",285
"845","2021-04-24",1070
"846","2021-04-25",288
"847","2021-04-26",132
"848","2021-04-27",69
"849","2021-04-28",237
"850","2021-04-29",1457
"851","2021-04-30",150
"852","2021-05-01",274
"853","2021-05-02",235
"854","2021-05-03",308
"855","2021-05-04",216
"856","2021-05-05",1217
"857","2021-05-06",996
"858","2021-05-07",618
"859","2021-05-08",157
"860","2021-05-09",121
"861","2021-05-10",1286
"862","2021-05-11",337
"863","2021-05-12",175
"864","2021-05-13",381
"865","2021-05-14",247
"866","2021-05-15",161
"867","2021-05-16",371
"868","2021-05-17",671
"869","2021-05-18",319
"870","2021-05-19",88
"871","2021-05-20",276
"872","2021-05-21",168
"873","2021-05-22",129
"874","2021-05-23",165
"875","2021-05-24",244
"876","2021-05-25",684
"877","2021-05-26",288
"878","2021-05-27",255
"879","2021-05-28",322
"880","2021-05-29",1432
"881","2021-05-30",280
"882","2021-05-31",1109
"883","2021-06-01",414
"884","2021-06-02",684
"885","2021-06-03",1421
"886","2021-06-04",805
"887","2021-06-05",597
"888","2021-06-06",165
"889","2021-06-07",1149
"890","2021-06-08",300
"891","2021-06-09",441
"892","2021-06-10",266
"893","2021-06-11",743
"894","2021-06-12",1250
"895","2021-06-13",298
"896","2021-06-14",266
"897","2021-06-15",263
"898","2021-06-16",2156
"899","2021-06-17",445
"900","2021-06-18",491
"901","2021-06-19",188
"902","2021-06-20",737
"903","2021-06-21",608
"904","2021-06-22",727
"905","2021-06-23",637
"906","2021-06-24",888
"907","2021-06-25",457
"908","2021-06-26",1274
"909","2021-06-27",171
"910","2021-06-28",811
"911","2021-06-29",767
"912","2021-06-30",347
"913","2021-07-01",400
"914","2021-07-02",669
"915","2021-07-03",290
"916","2021-07-04",1195
"917","2021-07-05",436
"918","2021-07-06",574
"919","2021-07-07",403
"920","2021-07-08",898
"921","2021-07-09",571
"922","2021-07-10",275
"923","2021-07-11",1362
"924","2021-07-12",422
"925","2021-07-13",228
"926","2021-07-14",528
"927","2021-07-15",204
"928","2021-07-16",233
"929","2021-07-17",1512
"930","2021-07-18",579
"931","2021-07-19",368
"932","2021-07-20",1209
"933","2021-07-21",562
"934","2021-07-22",1008
"935","2021-07-23",398
"936","2021-07-24",665
"937","2021-07-25",942
"938","2021-07-26",316
"939","2021-07-27",401
"940","2021-07-28",181
"941","2021-07-29",233
"942","2021-07-30",782
"943","2021-07-31",202
"944","2021-08-01",1213
"945","2021-08-02",1130
"946","2021-08-03",698
"947","2021-08-04",234
"948","2021-08-05",1603
"949","2021-08-06",331
"950","2021-08-07",537
"951","2021-08-08",366
"952","2021-08-09",973
"953","2021-08-10",220
"954","2021-08-11",282
"955","2021-08-12",538
"956","2021-08-13",217
"957","2021-08-14",494
"958","2021-08-15",579
"959","2021-08-16",322
"960","2021-08-17",365
"961","2021-08-18",759
"962","2021-08-19",266
"963","2021-08-20",217
"964","2021-08-21",634
"965","2021-08-22",741
"966","2021-08-23",593
"967","2021-08-24",250
"968","2021-08-25",295
"969","2021-08-26",291
"970","2021-08-27",263
"971","2021-08-28",180
"972","2021-08-29",654
"973","2021-08-30",343
"974","2021-08-31",167
"975","2021-09-01",1571
"976","2021-09-02",620
"977","2021-09-03",237
"978","2021-09-04",481
"979","2021-09-05",190
"980","2021-09-06",147
"981","2021-09-07",358
"982","2021-09-08",303
"983","2021-09-09",559
"984","2021-09-10",224
"985","2021-09-11",154
"986","2021-09-12",582
"987","2021-09-13",313
"988","2021-09-14",526
"989","2021-09-15",326
"990","2021-09-16",194
"991","2021-09-17",281
"992","2021-09-18",125
"993","2021-09-19",274
"994","2021-09-20",683
"995","2021-09-21",113
"996","2021-09-22",193
"997","2021-09-23",258
"998","2021-09-24",209
"999","2021-09-25",387
"1000","2021-09-26",148
"1001","2021-09-27",186
"1002","2021-09-28",280
"1003","2021-09-29",622
"1004","2021-09-30",269
"1005","2021-10-01",208
"1006","2021-10-02",510
"1007","2021-10-03",281
"1008","2021-10-04",139
"1009","2021-10-05",190
"1010","2021-10-06",302
"1011","2021-10-07",206
"1012","2021-10-08",376
"1013","2021-10-09",170
"1014","2021-10-10",1049
"1015","2021-10-11",302
"1016","2021-10-12",689
"1017","2021-10-13",338
"1018","2021-10-14",979
"1019","2021-10-15",245
